
"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2021-09-30T10:27:20.879+09:00"
"RESULT_INF"
"TOTAL_NUMBER","890346"
"FROM_NUMBER","800001"
"TO_NUMBER","890346"
"TABLE_INF","0002060007"
"STAT_NAME","00200531","労働力調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","労働力調査 基本集計　全都道府県 全国 月次"
"TITLE","1-4-2","農林業・非農林業，従業上の地位，配偶関係，年齢階級別就業者数（1985年1月～（2005年12月以前は女性のみ））"
"CYCLE","月次"
"SURVEY_DATE","0"
"OPEN_DATE","2021-08-31"
"SMALL_AREA","0"
"COLLECT_AREA","全国"
"MAIN_CATEGORY","03","労働・賃金"
"SUB_CATEGORY","01","労働力"
"OVERALL_TOTAL_NUMBER","890346"
"UPDATED_DATE","2021-09-29"
"STATISTICS_NAME_SPEC","労働力調査","基本集計　全都道府県","全国","月次","",""
"DESCRIPTION","","労働力調査では結果を算出するための基礎となる人口（ベンチマーク人口）として推計人口を用いています。<br />1982年から5年ごとに算出の基礎となるベンチマーク人口の基準を切り替えており，それぞれ切替えに伴う変動があります。<br />長期時系列表や速報では，2005年10月から2016年12月までの期間を含む数値を，基準切替え後のベンチマーク人口に基づいて遡及又は補正した時系列接続用数値に置き換えて掲載しています。<br />結果原表及びデータベース収録の数値は，公表当時の数値です。<br />このため，当該期間は，長期時系列表の数値とデータベースの数値とで異なる場合があります。","","","",""
"TITLE_SPEC","","農林業・非農林業，従業上の地位，配偶関係，年齢階級別就業者数（1985年1月～（2005年12月以前は女性のみ））","","","",""
"NOTE","*","分母が小さいため比率を計算していない。"
"NOTE","***","該当数値がないもの　又は　集計していないもの(2002年２月以降)。　なお，2002年１月以前については http://www.stat.go.jp/data/roudou/chuui.htm 参照"
"NOTE","0","数値が表章単位に満たないもの(2002年２月以降)。　なお，2002年１月以前については http://www.stat.go.jp/data/roudou/chuui.htm 参照"
"NOTE","…","東日本大震災の影響により，岩手県，宮城県及び福島県において，調査の実施が困難となりました。このため，平成23年3月分から8月分までの期間を含む全国及び東北地域の結果については掲載していません。"
"VALUE"
"tab_code","表章項目","cat01_code","産業","cat02_code","性別","cat03_code","従業上の地位","cat04_code","年齢階級","cat05_code","配偶関係","area_code","地域","time_code","時間軸（月次）","unit","value","annotation"
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000202","2000年2月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000303","2000年3月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000404","2000年4月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000505","2000年5月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000606","2000年6月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000707","2000年7月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000808","2000年8月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000000909","2000年9月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000001010","2000年10月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000001111","2000年11月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2000001212","2000年12月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2001000101","2001年1月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2001000202","2001年2月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2001000303","2001年3月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","07","家族従業者のうち週１～14時間","07","25～29歳","03","死別・離別","00000","全国","2001000404","2001年4月","万人","0",""
